Tungsten Specific Heat
----------------------------------
Temperature [K]	Cp [J/gK]
----------------------------------
300.0	0.132
350.0	0.134
373.0	0.135
400.0	0.136
450.0	0.1367
500.0	0.1379
573.0	0.14
600.0	0.1403
700.0	0.1427
773.0	0.143
800.0	0.1452
900.0	0.1474
1000.0	0.1501
1100.0	0.1523
1200.0	0.155
1300.0	0.1572
1400.0	0.1599
1500.0	0.1626
1600.0	0.1648
1700.0	0.1675
1800.0	0.1703
1900.0	0.173
2000.0	0.1757
2100.0	0.1779
2200.0	0.1806
2300.0	0.1833
2400.0	0.186
2500.0	0.1889
2600.0	0.1915
2700.0	0.1969
2800.0	0.2034
2900.0	0.2127
3000.0	0.223
3100.0	0.2361
3200.0	0.2502
3300.0	0.2665
3400.0	0.2845
3500.0	0.3073
3600.0	0.3356
3680.0	0.3598
