# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_BWS41677.txt 
# execution date and time: 2024/05/24 08:50:30 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
0.100222,-1.8,7157629.438805,300.006,1.2889431244630302e-11,7.949733512319139e-92
0.200444,-1.799098,7198087.60601,300.013,1.2962288154720287e-11,7.955709566090026e-92
0.300667,-1.798196,7238754.009871,300.019,1.3035520056569142e-11,7.961723874417419e-92
0.400889,-1.797294,7279629.596411,300.025,1.3109128653771107e-11,7.967776690595534e-92
0.501111,-1.796392,7320715.315216,300.032,1.3183115656340873e-11,7.973868269782075e-92
0.601333,-1.79549,7362012.119451,300.038,1.325748278073047e-11,7.979998869009228e-92
0.701556,-1.794588,7403520.965863,300.045,1.3332231749846133e-11,7.986168747204762e-92
0.801778,-1.793686,7445242.814791,300.051,1.3407364293065169e-11,7.992378165205373e-92
0.902,-1.792784,7487178.630179,300.058,1.3482882146252892e-11,7.998627385774496e-92
1.002222,-1.791882,7529329.379582,300.064,1.3558787051779458e-11,8.004916673617096e-92
1.102444,-1.79098,7571696.034179,300.071,1.3635080758536804e-11,8.011246295400082e-92
1.202667,-1.790078,7614279.568775,300.078,1.3711765021955506e-11,8.017616519766751e-92
1.302889,-1.789176,7657080.961821,300.085,1.3788841604021705e-11,8.02402761735504e-92
1.403111,-1.788274,7700101.195414,300.091,1.3866312273293999e-11,8.030479860814817e-92
1.503333,-1.787372,7743341.255312,300.098,1.3944178804920356e-11,8.036973524825785e-92
1.603556,-1.78647,7786802.13094,300.105,1.4022442980654976e-11,8.043508886114906e-92
1.703778,-1.785568,7830484.815403,300.112,1.4101106588875262e-11,8.050086223475107e-92
1.804,-1.784666,7874390.305491,300.119,1.4180171424598658e-11,8.056705817782386e-92
1.904222,-1.783764,7918519.601692,300.126,1.4259639289499619e-11,8.06336795201694e-92
2.004444,-1.782862,7962873.708199,300.133,1.4339511991926483e-11,8.070072911276039e-92
2.104667,-1.78196,8007453.632923,300.14,1.4419791346918387e-11,8.07682098280036e-92
