# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
2.45,-4.5,346087925.280789,300.203,1.176504513476836e-09,1.997648195074597e-90
4.9,-4.49951,346375244.143759,300.407,1.1774812361949651e-09,2.1236974643727603e-90
7.35,-4.49902,346662770.20958,300.611,1.178458663286379e-09,2.265638987669212e-90
9.8,-4.49853,346950503.598264,300.815,1.1794367951590518e-09,2.425760534532254e-90
12.25,-4.49804,347238444.429866,301.019,1.1804156322211064e-09,2.6066970281316218e-90
14.7,-4.49755,347526592.824487,301.223,1.1813951748808124e-09,2.811484676206476e-90
17.15,-4.49706,347814948.902267,301.427,1.1823754235465868e-09,3.0436236766651454e-90
19.6,-4.49657,348103512.783393,301.632,1.1833563786269937e-09,3.3071508691996394e-90
22.05,-4.49608,348392284.588095,301.836,1.1843380405307458e-09,3.6067239249309943e-90
24.5,-4.49559,348681264.436645,302.041,1.1853204096667016e-09,3.947718922353046e-90
26.95,-4.4951,348970452.449359,302.246,1.1863034864438684e-09,4.336343455475266e-90
29.4,-4.49461,349259848.746596,302.452,1.1872872712714002e-09,4.779767765773528e-90
31.85,-4.49412,349549453.44876,302.657,1.1882717645585972e-09,5.286276791115939e-90
34.3,-4.49363,349839266.676295,302.863,1.1892569667149093e-09,5.865446491282152e-90
36.75,-4.49314,350129288.549691,303.068,1.190242878149932e-09,6.528348351520126e-90
39.2,-4.49265,350419519.18948,303.274,1.1912294992734071e-09,7.287786595000156e-90
41.65,-4.49216,350709958.71624,303.48,1.192216830495226e-09,8.158573366186653e-90
44.1,-4.49167,351000607.250587,303.687,1.193204872225426e-09,9.157847996520388e-90
46.55,-4.49118,351291464.913186,303.893,1.194193624874191e-09,1.0305447450508395e-89
49.0,-4.49069,351582531.824742,304.1,1.195183088851853e-09,1.162433619657513e-89
51.45,-4.4902,351873808.106004,304.306,1.1961732645688902e-09,1.3141105078654593e-89
53.9,-4.48971,352165293.877763,304.513,1.197164152435929e-09,1.4886550311441025e-89
56.35,-4.48922,352456989.260856,304.72,1.1981557528637415e-09,1.6896345519373978e-89
58.8,-4.48873,352748894.376161,304.928,1.199148066263248e-09,1.9211821827158314e-89
61.25,-4.48824,353041009.3446,305.135,1.2001410930455149e-09,2.1880873435030745e-89
63.7,-4.48775,353333334.287139,305.343,1.2011348336217565e-09,2.4959008929559574e-89
66.15,-4.48726,353625869.324786,305.551,1.2021292884033326e-09,2.8510571853974558e-89
68.6,-4.48677,353918614.578592,305.759,1.2031244578017509e-09,3.261015786451963e-89
71.05,-4.48628,354211570.169652,305.967,1.2041203422286657e-09,3.73442602165856e-89
73.5,-4.48579,354504736.219104,306.175,1.205116942095879e-09,4.281318045581392e-89
75.95,-4.4853,354798112.84813,306.383,1.206114257815338e-09,4.913324715031311e-89
78.4,-4.48481,355091700.177954,306.592,1.2071122897991383e-09,5.643939242463161e-89
80.85,-4.48432,355385498.329843,306.801,1.2081110384595208e-09,6.488814409969295e-89
83.3,-4.48383,355679507.425108,307.01,1.2091105042088738e-09,7.466110058638512e-89
85.75,-4.48334,355973727.585103,307.219,1.2101106874597327e-09,8.596896653358212e-89
88.2,-4.48285,356268158.931226,307.429,1.2111115886247796e-09,9.905623983781191e-89
90.65,-4.48236,356562801.584915,307.638,1.2121132081168411e-09,1.1420665526445413e-88
93.1,-4.48187,356857655.667656,307.848,1.2131155463488941e-09,1.3174950693772544e-88
95.55,-4.48138,357152721.300973,308.058,1.2141186037340592e-09,1.5206699171027947e-88
98.0,-4.48089,357447998.606436,308.268,1.2151223806856052e-09,1.7560273836551595e-88
100.45,-4.4804,357743487.705659,308.478,1.2161268776169468e-09,2.0287171425117464e-88
102.9,-4.47991,358039188.720296,308.688,1.2171320949416435e-09,2.3447173188760457e-88
105.35,-4.47942,358335101.772048,308.899,1.2181380330734047e-09,2.710968140314762e-88
107.8,-4.47893,358631226.982655,309.11,1.2191446924260837e-09,3.135527174095922e-88
110.25,-4.47844,358927564.473902,309.32,1.2201520734136818e-09,3.627749638007993e-88
112.7,-4.47795,359224114.367618,309.532,1.2211601764503452e-09,4.1984978342056626e-88
115.15,-4.47746,359520876.785674,309.743,1.2221690019503674e-09,4.8603844090951936e-88
