# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
0.89,-4.5,125721736.122409,300.074,1.176504513476836e-09,1.9255305316823163e-90
1.78,-4.49911,125911367.325186,300.148,1.1782790830369163e-09,1.9665533640393084e-90
2.67,-4.49822,126101246.962978,300.222,1.180055977452865e-09,2.009402856574574e-90
3.56,-4.49733,126291375.297135,300.296,1.1818351991704037e-09,2.054173916651953e-90
4.45,-4.49644,126481752.58918,300.371,1.183616750636861e-09,2.100966761301245e-90
5.34,-4.49555,126672379.100806,300.445,1.1854006343011677e-09,2.1498872286290606e-90
6.23,-4.49466,126863255.09388,300.519,1.1871868526138605e-09,2.2010471081419035e-90
7.12,-4.49377,127054380.830437,300.594,1.1889754080270779e-09,2.254564491164263e-90
8.01,-4.49288,127245756.572685,300.669,1.190766302994562e-09,2.3105641426071287e-90
8.9,-4.49199,127437382.583004,300.744,1.1925595399716578e-09,2.3691778954252965e-90
9.79,-4.4911,127629259.123943,300.819,1.194355121415311e-09,2.4305450691864763e-90
10.68,-4.49021,127821386.458224,300.894,1.1961530497840682e-09,2.4948129142660837e-90
11.57,-4.48932,128013764.848739,300.969,1.1979533275380796e-09,2.56213708328097e-90
12.46,-4.48843,128206394.558553,301.044,1.199755957139092e-09,2.6326821314765186e-90
13.35,-4.48754,128399275.850898,301.12,1.201560941050454e-09,2.7066220478936355e-90
14.24,-4.48665,128592408.98918,301.195,1.2033682817371127e-09,2.7841408192606497e-90
15.13,-4.48576,128785794.236976,301.271,1.2051779816656149e-09,2.8654330286785913e-90
16.02,-4.48487,128979431.858033,301.347,1.2069900433041047e-09,2.950704491304281e-90
16.91,-4.48398,129173322.116267,301.423,1.2088044691223226e-09,3.0401729293777443e-90
17.8,-4.48309,129367465.275767,301.499,1.2106212615916081e-09,3.134068689090759e-90
18.69,-4.4822,129561861.600792,301.575,1.2124404231848964e-09,3.2326355019604172e-90
19.58,-4.48131,129756511.355772,301.651,1.2142619563767187e-09,3.3361312935380222e-90
