# --------------- PyTT output file ------------------ 
# input file: Simulations/PSI_RRL590MeV.txt 
# execution date and time: 2025/01/25 16:53:10 
# Particle: Proton   Material: Carbon 
# EdepMethod: Interpolated 
# dEdx: 2.2696 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.006771463820815146 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
40.40404,-2.0,1.609447,1030.0,8.643223065736228e-11,1.0341200736911407e-16
80.808081,-1.9988,1.624655,1030.0,8.724893210030351e-11,1.0341200737010489e-16
121.212121,-1.9976,1.639997,1030.0,8.807285345743506e-11,1.0341200737110472e-16
161.616162,-1.9964,1.655474,1030.0,8.890405356372017e-11,1.0341200737211371e-16
202.020202,-1.9952,1.671089,1030.0,8.974259168571711e-11,1.0341200737313187e-16
242.424242,-1.994,1.686841,1030.0,9.058852752430789e-11,1.0341200737415945e-16
282.828283,-1.9928,1.702732,1030.0,9.144192121744055e-11,1.0341200737519628e-16
323.232323,-1.9916,1.718763,1030.0,9.230283334288487e-11,1.034120073762426e-16
363.636364,-1.9904,1.734935,1030.0,9.317132492100142e-11,1.0341200737729845e-16
404.040404,-1.9892,1.751249,1030.0,9.404745741752464e-11,1.0341200737836394e-16
444.444444,-1.988,1.767707,1030.0,9.493129274635876e-11,1.0341200737943912e-16
484.848485,-1.9868,1.78431,1030.0,9.582289327238788e-11,1.034120073805241e-16
525.252525,-1.9856,1.801058,1030.0,9.672232181429948e-11,1.0341200738161899e-16
565.656566,-1.9844,1.817953,1030.0,9.762964164742162e-11,1.0341200738272384e-16
606.060606,-1.9832,1.834996,1030.0,9.854491650657366e-11,1.0341200738383869e-16
646.464646,-1.982,1.852189,1030.0,9.946821058893111e-11,1.0341200738496373e-16
686.868687,-1.9808,1.869532,1030.0,1.0039958855690355e-10,1.0341200738609898e-16
727.272727,-1.9796,1.887027,1030.0,1.0133911554102736e-10,1.0341200738724453e-16
767.676768,-1.9784,1.904674,1030.0,1.0228685714287094e-10,1.0341200738840049e-16
808.080808,-1.9772,1.922477,1030.0,1.0324287943795527e-10,1.0341200738956699e-16
848.484848,-1.976,1.940434,1030.0,1.0420724897868698e-10,1.0341200739074408e-16
